"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"94","ARG1",3.82,4.39,3.96,4.94,1.49,17437.64,13.52,3.155,21.32,8.415,5.63,3.26,17.38,1.49,3.82,4.94,13.52,17437.64
"95","SCGB1C1",0,0,0,0,7.785,0,0,0,0,0,0,0,0,0,0,0,0,7.785
"96","TMEM52B",2.48,6.41,2.32,0.68,3030.565,0,33.06,2.495,5.73,4.24,1.92,0.32,2.53,0,1.92,2.495,5.73,3030.565
"97","C11orf86",0,0,0,92.7,5.865,2.41,0,0,0,0,0,0,0,0,0,0,0,92.7
"98","OTOS",0,0,0,0,1.115,0,0,0,0,0,1838.475,0,0,0,0,0,0,1838.475
"99","TEX19",0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,1.37
"100","TAT",0.44,480.04,2.34,5.54,1.92,26067.14,2.58,0.945,0.83,1.585,1.385,1.38,0.67,0.44,0.945,1.585,2.58,26067.14
"101","LCE3E",0,0,2.16,0,0,0,0,0,0,0,0,0,100.83,0,0,0,0,100.83
"102","TYR",0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,1.53
"103","AKR1C4",0,0,0,0,5.75,10512.82,0.82,0,0.71,5.05,0,0,0,0,0,0,0.82,10512.82
"104","AGMO",22.43,25.35,1.58,14.14,78.965,1378.57,3.08,0.725,2.97,7.72,7.91,2.72,5.845,0.725,2.97,7.72,22.43,1378.57
"105","GYS2",2.58,7.17,1.27,1.33,2.385,2520.38,1.1,0.615,9.27,3.74,2.365,1.105,77.79,0.615,1.27,2.385,7.17,2520.38
"106","DPCR1",1.83,0.11,1.73,0.33,1.265,1,102.25,0.49,4.06,1633.925,1.38,0.085,432.53,0.085,0.49,1.38,4.06,1633.925
"107","MUC2",2.66,0.28,2.23,1242.34,0,0.33,0.27,3.335,1.31,9.705,0.07,0.205,1.62,0,0.27,1.31,2.66,1242.34
"108","EMX1",0,2.29,0,3.59,1567.78,2.86,0.26,0.72,3.38,8.955,1.25,0,6.84,0,0.26,2.29,3.59,1567.78
"109","MEPE",0,0,0,0,0.3,0,0.16,0,0,0,0,0,0,0,0,0,0,0.3
"110","ASGR2",14.56,11.82,7.46,11.38,22.16,22225.61,35,7.545,16.63,9.41,6.7,6.6,11.47,6.6,7.545,11.47,16.63,22225.61
"111","CIDEA",19.11,1721.16,1.71,10.88,0.27,3.35,0.97,2.06,100.83,15.8,4.08,1.93,57.08,0.27,1.93,4.08,19.11,1721.16
"112","ALPPL2",0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,11.55
"113","KRT6C",3.63,7.11,5.28,0.64,0.375,1.41,0.77,1.78,1923.14,10.315,0.335,0,10883.59,0,0.64,1.78,7.11,10883.59
"114","AL136376.1",0,0,0,0,27.405,0,0,0,4.46,0,0,0,0,0,0,0,0,27.405
"115","KRT13",4298.64,19.11,69.03,15.68,5.78,6.46,102.25,577.2,44761.41,104.055,19.97,32.15,602247.76,5.78,19.11,69.03,577.2,602247.76
"116","AC012414.1",0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
"117","TP53TG3B",0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66
