"","Hugo_Symbol","pcon_condensed","gc_condensed","pcon_unified","gc_unified"
"1","SAMD11",0.0704873028165602,0.516000601795412,0.135336769832952,0.403830276625605
"2","NOC2L",0.0356677605904925,0.182290378299353,0.0839314016804402,0.11726450637041
"3","KLHL17",0.041247019278147,0.28672919151606,0.0595367169662104,0.27284992263244
"4","PLEKHN1",0.0261360444653615,0.804272241349899,0.0267728105242463,0.76823527257956
"5","HES4",0.0600734973945407,0.373555410902479,0.0899434763035273,0.302879639186014
"6","ISG15",0.0337301874028072,0.275810679276463,0.0583219563603267,0.236898802537949
"7","AGRN",0.0416926964354579,0.359905561616885,0.0645159062264958,0.250248001079838
"8","RNF223",0.00975096979929451,0.854774569070353,0.0151527624849501,0.758220724910374
"9","C1orf159",0.0464111214677963,0.28708993572014,0.0797482313900297,0.191156430618862
"10","TTLL10",0.00617759937836499,0.885451514725329,0.0305855413804383,0.459286379306007
"11","TNFRSF18",0.0278337639606749,0.579242573131929,0.054090704779028,0.392804002360535
"12","TNFRSF4",0.0427969124891939,0.472521763522132,0.052054019553802,0.257248988500258
"13","SDF4",0.0364454948325108,0.160694484224878,0.0898514172190172,0.0781290083941366
"14","B3GALT6",0.0383015434362919,0.169526344397655,0.0794405807015544,0.15624005683064
"15","UBE2J2",0.0356943064227283,0.204609168400271,0.076542661539958,0.0744332253678772
"16","SCNN1D",0.034063989723648,0.460305994800616,0.0564860448567588,0.312361254432256
"17","ACAP3",0.0300818643712432,0.444105421507333,0.0535876431144119,0.289758521921392
"18","PUSL1",0.0405902768511233,0.219013113206151,0.0804694343689539,0.203666378071428
"19","TAS1R3",0.0191327260666844,0.374068615033821,0.0370932448648267,0.377241802455327
"20","DVL1",0.033280389744333,0.218503771353044,0.0663770312991071,0.174526687931876
"21","MXRA8",0.0308359599601425,0.458282100807862,0.0395074535766513,0.42419566568293
"22","AURKAIP1",0.0328326500694816,0.177412347860264,0.0783564886263859,0.136457184796802
"23","CCNL2",0.0466357502935422,0.262587304146321,0.0586755492014295,0.273976754949668
