"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"251","C19orf80",5.32,46.18,19.97,7.22,4.37,2319.15,5.59,5.89,1.77,6.645,6.595,23.17,22.51,1.77,5.59,6.645,22.51,2319.15
"252","RHCG",25.17,21.78,7.28,10.08,2039.925,13.62,6.41,26.43,6426.31,23.085,2.26,0.885,53973.86,0.885,7.28,21.78,26.43,53973.86
"253","C9",1.01,0.26,0.54,0.31,20.345,16843.62,0.72,0.12,0.01,0.62,1.03,0,1.75,0,0.26,0.62,1.03,16843.62
"254","TMPRSS11B",2.92,0.21,1.3,0.54,0.16,0.35,0,0.32,125.24,6.01,0.21,0.09,6652.97,0,0.21,0.35,2.92,6652.97
"255","CTSE",40.07,1.28,6.52,53.19,4.66,5.15,1870.53,10.2,0,6229.865,242.88,2.875,15.56,0,4.66,10.2,53.19,6229.865
"256","PAX8",29.7,45.21,432.53,73.03,3742.41,21.01,103.69,41.665,52.08,73.03,25530.66,354.99,144.01,21.01,45.21,73.03,354.99,25530.66
"257","HAL",7.4,3.66,11.55,5.23,2.935,1963.57,22.92,2.495,24.63,6.31,4.82,4.905,25.72,2.495,4.82,6.31,22.92,1963.57
"258","SPRR2D",7.88,1.69,2.92,1.81,2.305,1.31,9.27,0.93,2434.5,11.91,0.7,0.215,19348.38,0.215,1.31,2.305,9.27,19348.38
"259","CALML5",4.9,163.28,0,2.71,0.58,1.91,2.94,3.89,4038.61,12.93,2.05,1.96,1030.12,0,1.96,2.94,12.93,4038.61
"260","NR1I3",13.42,13.93,10.88,20.41,104.06,6037.61,10.71,11.295,14.45,19.39,8.99,13.88,20.26,8.99,11.295,13.93,20.26,6037.61
"261","SLC22A2",0,0,0.61,2.34,4516.31,2.18,0,6.49,0,0,0,2.545,3.925,0,0,0.61,2.545,4516.31
"262","SAA4",0,78.89,0,0,0.83,45386.27,3.26,3.56,20.11,0,0,0,3.14,0,0,0.83,3.56,45386.27
"263","PAH",2.07,8.32,1.89,1.91,1809.555,25530.66,0.58,11.465,1.43,3.185,14.35,1.97,2.14,0.58,1.91,2.14,11.465,25530.66
"264","DAO",0,0,0,12.36,329.97,2335.28,4.54,0.65,0,0,0.7,0,0,0,0,0,4.54,2335.28
"265","CYP2A6",22.92,50.27,26.47,2.41,0.43,60723.88,16.03,9.095,3.99,2.295,1.65,13.42,3.47,0.43,2.41,9.095,22.92,60723.88
"266","DUSP9",11.91,6.46,3.2,0,1488.44,10.39,0.73,2.955,7.82,0.68,0,0.54,11.82,0,0.68,3.2,10.39,1488.44
"267","CPS1",21.01,96.01,10.16,15.8,52.82,23330.64,24.99,18.975,34.02,65.03,47.5,47.775,64.8,10.16,21.01,47.5,64.8,23330.64
"268","GBP6",6.46,5.82,5.11,0.73,0.97,1.48,5.68,3.56,684.02,9.78,4.315,1.365,5672.41,0.73,1.48,5.11,6.46,5672.41
"269","FABP4",5913.33,102836.01,612.11,813.63,176.365,115.97,6381.92,49.215,547.75,559.495,2327.325,227.615,2054.12,49.215,227.615,612.11,2327.325,102836.01
"270","TTC36",3.99,74.58,3.59,6.57,58.92,5041.77,3.79,8.095,4.21,40.645,10,4.84,14.135,3.59,4.21,8.095,40.645,5041.77
"271","CYP8B1",1.73,3.89,2.05,1.51,112.815,8247.98,1.79,1.025,1.68,1.29,3.89,1.62,4.54,1.025,1.62,1.79,3.89,8247.98
"272","SERPINB2",80.01,13.03,2.97,1.66,0.985,1.95,13.72,2.71,928.3,9.095,1.95,0.94,2664.15,0.94,1.95,2.97,13.72,2664.15
"273","OTC",3.26,2.43,8.78,51.71,0,4736.79,17.25,0,0,24.9,4.58,12.88,3.69,0,2.43,4.58,17.25,4736.79
"274","TMPRSS11A",4.24,0.39,2.41,0.16,0.155,0,0,2.165,111.99,2.03,0.19,0,1073.91,0,0.155,0.39,2.41,1073.91
"275","HGFAC",2.2,2.07,33.06,3.44,6.235,5913.33,2.63,4.78,1.16,2.86,3.515,8.515,23.845,1.16,2.63,3.515,8.515,5913.33
"276","SLCO1B3",0,0,6.78,0.82,0,2502.97,0.36,1.005,5.77,0.39,0.74,0.095,1.77,0,0.095,0.74,1.77,2502.97
"277","SLC39A5",2.68,3.79,4.39,507.46,1143.545,8840.04,3.99,4.37,1.03,56.68,8.71,8.745,16.03,1.03,3.99,8.71,56.68,8840.04
"278","FGA",0.61,2.76,10.63,2.34,22.835,365622.68,138.1,1.2,1.04,71.53,0.79,2.39,18.16,0.61,1.2,2.76,22.835,365622.68
"279","SFTPA2",6.94,7.34,1.79,26.28,2.035,1.41,614902.29,174.46,17,6.675,3.84,2.62,8.45,1.41,2.62,6.94,17,614902.29
"280","LIPF",1.58,2.56,5.06,4.24,2.505,1.93,0.35,2.045,1.33,37511.35,6.135,2.84,178.77,0.35,1.93,2.56,5.06,37511.35
"281","DIO1",1.28,14.14,3.99,2.94,391.61,3303,8.65,5.235,6.67,3.565,4639.405,4.6,5.54,1.28,3.99,5.54,14.14,4639.405
"282","SLC38A4",24.63,13.72,3.06,31.45,84.395,7130.55,7.75,20.115,20.56,6.625,7.46,26.86,27.84,3.06,7.75,20.56,27.84,7130.55
"283","MUC21",10.39,0.39,2.32,0.85,0.285,0.96,56.28,2.045,674.59,23.335,1.35,0,20593.91,0,0.85,2.045,23.335,20593.91
"284","PADI1",25.91,0.74,8.06,3.96,2.78,1.06,0.36,2.73,109.66,2.795,0.52,0.68,2434.5,0.36,0.74,2.78,8.06,2434.5
"285","AHSG",0.2,0.13,1.23,0.56,3.475,123144.13,0.22,0.41,0.88,0.66,0.16,0.545,3.2,0.13,0.22,0.56,1.23,123144.13
"286","VTN",29.27,12.18,8.92,10.47,34.89,113315.62,51.35,19.97,3.44,30.575,16.03,40.355,38.4,3.44,12.18,29.27,38.4,113315.62
"287","ABCC2",9.13,11.64,4.54,7.11,84.035,1378.57,5.77,3.645,4.74,14.35,5.96,5.565,15.225,3.645,5.565,7.11,14.35,1378.57
"288","KCNJ16",0.16,66.65,0.77,2.76,5167.125,19.39,12.64,3.705,10.24,90.77,3280.18,3.35,9.815,0.16,3.35,10.24,66.65,5167.125
"289","CRNN",4.24,0.64,2.71,2.46,0.665,1.28,1.46,1.48,1487.87,17.64,1.97,0.145,59887.86,0.145,1.28,1.97,4.24,59887.86
"290","CEACAM7",28.04,3.17,6.16,2417.67,2.595,1.38,2.25,1.94,115.16,23.505,0.39,0.545,723.08,0.39,1.94,3.17,28.04,2417.67
"291","CYP4A11",1.01,5.77,0.78,0.72,2114.03,29327.18,3.17,1.04,1,4.135,2.1,1.225,2.85,0.72,1.01,2.1,4.135,29327.18
"292","APOC3",1.03,0.89,0.32,5.23,44.85,772940.66,2.84,1.3,1.27,94.01,2.48,2.545,9.2,0.32,1.27,2.545,9.2,772940.66
"293","ADH1A",13.93,34.02,1.51,17.9,5.585,39785.74,16.75,2.34,2.63,8.72,2.645,8.315,14.35,1.51,2.645,8.72,16.75,39785.74
"294","IL1RN",1073.91,104.42,27.64,56.28,40.015,1936.53,514.56,73.8,3146.52,1070.195,65.26,20.115,34635.37,20.115,56.28,104.42,1073.91,34635.37
"295","SCGB2A2",0.21,20310.37,18.97,1.64,3.275,1.41,0.64,0.85,13.83,1.67,1.135,6.975,4.98,0.21,1.135,1.67,6.975,20310.37
"296","CREB3L3",0.26,0.23,0.41,18.16,15.745,6337.83,1.22,0.315,0.33,32.71,0,0.54,1.23,0,0.315,0.54,15.745,6337.83
"297","PROC",6.06,4.98,8.13,31.22,273.615,16045.82,11.55,11.385,10.71,44.89,10.2,11.265,13.52,4.98,10.2,11.385,31.22,16045.82
"298","TMPRSS11D",6.11,0.75,5.59,0.31,0.09,0.27,0,2.34,343.89,3.11,0.6,0,2520.38,0,0.27,0.75,5.59,2520.38
"299","SLC34A2",1.45,575.03,40.07,1.07,594.855,21.16,36106.23,31.94,128.79,10.235,377.725,69.28,11.3,1.07,11.3,40.07,377.725,36106.23
"300","APCS",0.24,0.06,1.01,0,4.59,67846.12,0,0.42,0,0,0,0.68,1.11,0,0,0.24,1.01,67846.12
"301","SLC3A1",1.28,4.78,10.24,74.58,8280.645,214.27,3.92,14.945,1.5,30.365,5.63,7.44,11.595,1.28,4.78,10.24,30.365,8280.645
