"","Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus","Min","Quantile.1","Median","Quantile.3","Max"
"134","SBSN",21.63,3.69,0.39,3.53,0.505,2.25,3.69,1.92,2701.35,11.395,6.46,1.985,14971.21,0.39,1.985,3.69,11.395,14971.21
"135","SERPINA10",0.11,0.46,2.94,1.95,1.505,7642.41,1.62,0.27,0.22,2.825,0.27,0.46,1.16,0.11,0.27,1.16,1.95,7642.41
"136","APOA2",3.47,1.14,3.79,3.47,10.315,614902.29,2.71,1.84,0.49,6.54,1.84,2.95,9.93,0.49,1.84,3.47,6.54,614902.29
"137","F12",24.63,31.22,34.51,95.34,32.495,16727.26,16.27,28.345,211.31,44.25,12.18,13.265,376.41,12.18,24.63,32.495,95.34,16727.26
"138","CPB2",0.43,0.85,1.27,0.39,0.565,15180.22,470.14,1.19,0.21,0.42,2.06,1.21,0.69,0.21,0.43,0.85,1.27,15180.22
"139","FXYD2",29.27,39.5,5.87,30.12,63093.06,796.86,60.39,25.355,83.45,25.82,31.11,72.01,49.385,5.87,29.27,39.5,72.01,63093.06
"140","GUCA2A",1.55,0,0,2915.45,0,3.99,20.71,0.4,0,13.525,0,0,0,0,0,0,3.99,2915.45
"141","SERPINA1",199.85,1233.75,1769.57,1268.46,6903.45,696613.03,23330.64,468.51,334.46,1437.29,869.085,545.875,248,199.85,468.51,1233.75,1769.57,696613.03
"142","ACSM2A",1.14,2.53,0.75,1.04,2612.375,10733.74,1.14,0.53,0.4,1.24,4.15,1.45,2.875,0.4,1.04,1.24,2.875,10733.74
"143","AGER",94.01,65.72,142.01,97.36,35.455,53.57,46019.85,80.3,37.85,87.645,1290.655,180.65,247.14,35.455,65.72,94.01,180.65,46019.85
"144","DSG3",2.89,173.85,1.48,0.92,0.1,0.54,0.88,8.415,1628.26,10.005,0.41,0,5954.47,0,0.54,1.48,10.005,5954.47
"145","METTL7B",10.63,18.43,18.97,116.78,516.425,3614.55,60.82,11.04,10.71,74.58,55.49,12.735,9.095,9.095,11.04,18.97,74.58,3614.55
"146","CYP2D6",12.45,18.29,23.76,45.53,12.89,8718.32,18.16,15.68,8.51,46.51,49.91,18.635,69.52,8.51,15.68,18.635,46.51,8718.32
"147","GC",0,0.1,1.3,0.78,46.67,82378.63,0.26,1.165,0.09,121.365,0.19,0.49,8.545,0,0.19,0.78,8.545,82378.63
"148","ZBED2",9.2,1.85,14.89,2.12,9.105,0.43,231.32,4.64,87.65,5.585,1757.385,4.26,185.11,0.43,4.26,9.105,87.65,1757.385
"149","SLC22A10",0,0.8,0.84,0,0.81,1286.18,3.29,2.375,0.52,0.37,0.36,0.835,3.66,0,0.37,0.81,2.375,1286.18
"150","F2",0.75,0.23,1.75,1.91,1.955,29943.43,0.19,0.85,0.06,2.655,0.59,1.475,5.21,0.06,0.59,1.475,1.955,29943.43
