"Hugo_Symbol","pcon","gini_coeff"
"CUL5",0.0844111107381317,0.107017477202246
"REV1",0.0784491080206228,0.151998811021141
"ZNF428",0.0934556062194737,0.197626391024114
"CX3CR1",0.0885003201024328,0.46659977346597
"FAXC",0.123377326067102,0.461123584431653
"PKP2",0.104634301132073,0.354300957525929
"BNIP2",0.0675584118137152,0.11974021434541
"HOXB7",0.0230357209743673,0.586657193704626
"GRIN3A",0.157642812303829,0.273540489642185
"FCRL5",0.0117216559100871,0.465723552037564
"GPR150",0.129520678318048,0.303592583225738
"ADORA2A",0.0440038663180447,0.252691500781727
"YBX2",0.0439616296182466,0.388313937337833
"CD1B",0,0.642227791506938
"MORC2",0.083236911776504,0.134435489898536
"RHBG",0.00549432028853608,0.795797454306909
"GART",0.0674668136308504,0.109154606100167
"CLCN2",0.0657434556823401,0.331535885992381
"IFIH1",0.0719769868493646,0.124016321089488
"CTAGE8",0.0507903861950476,0.318738854934843
"AL035252.1",0.184332768247948,0.236659527582724
"SMYD3",0.0718406323644933,0.196974961409368
"NARF",0.0810556428141109,0.0884239843206638
"FAM177A1",0.115972913200585,0.142537147048424
"PLGLB1",0.0105325784830484,0.788270583568573
"CTC-435M10.3",0,0.923076923076923
"AC079354.1",0.0103114044132811,0.649237749258372
"C4BPA",5.71815732027382e-05,0.882661796259204
"SORD",0.257573387767929,0.630243058648883
"PMP2",0.160239426945344,0.494878588196221
"UBTD2",0.070070138734073,0.191119805716894
"BTRC",0.105100810467933,0.14451798974273
"PAGE4",0.661817672638449,0.867461135741714
"CTB-58E17.5",0.146795993003657,0.334777450248909
"LIFR",0.109936810157594,0.2684143370686
"ADPRM",0.147516106435526,0.177155687632243
"CCDC25",0.0765934498117751,0.0835475925487739
"NDN",0.0697297012090331,0.469942145923543
"SLFN12",0.0532268518518519,0.273146723646724
"ZC3H18",0.0727904752702587,0.101764628045661
"GSTP1",0.0491171844190025,0.295661627565223
"WDR72",0.00147502203256181,0.788185551634691
"SPAG8",0.0791043150283901,0.373635351454281
"EIF5A2",0.0587272833518378,0.238504540707544
"PPP3CB",0.0911821099598781,0.165321572176537
"ZBTB8A",0.0835473711915631,0.175069587029689
"CYP4X1",0.07012187744501,0.39795129493622
"PLIN2",0.0222681016169695,0.511530260546105
"B3GNT9",0.0971853585734702,0.332225193434155
"THNSL1",0.0581706786993149,0.328458178958045
"AKR1B15",0.00430183983645898,0.69952893076171
"TMEM184A",0.0601935356210568,0.675200551938606
"PEX19",0.0822542418433408,0.144532915152888
"WDR4",0.0620304158802505,0.138723539840513
"ACOT12",0.00139145862374857,0.917064230915454
"DYNC1I1",0.102189342897015,0.507516162953507
"GPT",0.00836909360533298,0.76183548374736
"VMO1",0.0565169445624262,0.435480095186055
"MARCH4",0.065230961298377,0.628205128205128
"AXIN1",0.073243728982225,0.13215198259979
"MANBAL",0.101488201752556,0.142963165511903
"FUT1",0.0633209608892051,0.339746730613048
"MKS1",0.0789916012320744,0.141131635639502
"KCNK15",0.031581886536563,0.628210369990803
"HOXA1",0.0575872970254347,0.487219096466115
"ZBP1",0.0305580603145977,0.366996193867249
"OAS1",0.033791878480579,0.283327877549329
"NLE1",0.0834669292190955,0.129585431776748
"GPR183",0.0502206181306779,0.319679670472496
"OR51E1",0.409647275598842,0.572097245563947
"BEST3",0.368780061215566,0.780424472772527
"ATCAY",0.598490159072526,0.766841570400481
"SAP30L",0.0732410450486339,0.0762006031680373
"TNFRSF11A",0.0701832490808823,0.356301700367647
"DENND5A",0.068098359590496,0.244698211326589
"SASS6",0.0838854494768473,0.148116121234401
"NKPD1",0.19568595760552,0.547283759939942
"GLIPR1L1",0.072439786725501,0.338721767293196
"GPC5",0.0166068084845136,0.757669993695411
"TMTC3",0.0915210430337579,0.14608613820595
"GRAP",0.0374257156805526,0.345630781767373
"CCDC34",0.079472031799785,0.19252665919449
"RASA3",0.0424580310719713,0.366314509153328
"NR4A3",0.0687513739283359,0.353094019862887
"BYSL",0.0797658302922297,0.147528924136926
"DCUN1D2",0.0729547302526524,0.163567322104505
"SASH1",0.0391016122049509,0.335128304877617
"SLC41A3",0.0728575658962105,0.193980254461115
"KAL1",0.0768148945991691,0.676567519263319
"SGK223",0.0459115626398046,0.418294182529833
"SLC18B1",0.0474007427214902,0.177761802317697
"FGD5",0.0408669025369274,0.346250871088644
"SPINK7",9.42105787609497e-05,0.912868523980843
"PLCXD2",0.0433308836146193,0.690355969614191
"DEFB1",0.0126811597458126,0.756316691662956
"CD27",0.0358420445150252,0.287631139989912
"SLC41A2",0.0290086174975065,0.47085108469297
"TAGLN",0.133116112612194,0.538228037689195
"TBX20",0,0.912822491485557
"C11orf24",0.0639397539936013,0.217515515576509
"AZGP1",0.233231647048165,0.78371118076632
"ZBTB9",0.079203580963513,0.133498887845588
"AOC2",0.0455358371165222,0.274488431731519
"OIP5",0.0398783372761068,0.394947221842324
"GPR63",0.120130369277127,0.279423555874068
"ARPC5",0.0616494515575279,0.157153920534843
"ANKRD36",0.0586688652621907,0.295795028296505
"CSNK2A1",0.0740796666216763,0.117156174403272
"LAPTM4B",0.0492618225959186,0.311962683163278
"SP1",0.0661208801953629,0.150515758186867
"DAW1",0.00598582946494014,0.878892668533519
"PTH1R",0.00914950067383564,0.697472925413
"C10orf62",0.0471841704718417,0.527572883737268
"SECTM1",0.0577552326925471,0.348483439097491
"PLCE1",0.029762310670637,0.359071888087868
"TDRD12",0.0701554256381007,0.546644144391186
"EBNA1BP2",0.0759094962495138,0.062755005210307
"CDK19",0.140283214048659,0.189693138558193
"APEH",0.082320381588318,0.121457187525048
"NAB1",0.0537146169452227,0.14392913356569
"SLC35D1",0.0554979771568664,0.322714941331411
"SLC35E4",0.0605994528803076,0.243503843154955
"WWP2",0.0734365857574793,0.118491629502953
"ANKRD11",0.0694747984560709,0.0998275819898873
"PGBD2",0.0806504884451814,0.155863476841252
"C17orf104",0.0549656464709556,0.25042914611934
"PLCL1",0.0716791729614323,0.541118545844302
"FRY",0.0556760658494704,0.300903407429753
"DHRS7B",0.102112568172069,0.122811511593376
"LGR6",0.096070356400585,0.456192748826111
"CRLF3",0.0519060228745281,0.204575425701123
"AP003733.1",0.0793422733077906,0.229868683891672
"TMC7",0.0699320345338044,0.50376232949412
"CABP7",0.0683780361459652,0.378602863695531
"NLRP6",0.0203936688311688,0.573590472027972
"ARL6IP1",0.0663688076180793,0.159642324964837
"HSPA1A",0.102671861998742,0.156010960325784
"C20orf112",0.0633208044924539,0.240256490706312
"UNC13C",0.0158936425429828,0.632362439639529
"FAT3",0.204250737325032,0.54143964738038
"GPD2",0.072830073059274,0.236581378472179
"BEST4",0.0205584354382658,0.6721404577201
"UBR5",0.078112627567212,0.148024515449511
"RP1-241P17.4",0.0746070540643041,0.128851259144968
"TMEM249",0.0792034735738883,0.266023241618391
"MDM4",0.069997862158562,0.214506139652911
"S100A1",0.00722574554056972,0.657004400087439
"CRIP2",0.0501656927402182,0.241186778496457
"RP11-362K2.2",0,0.874424720578567
"ZNF300",0.0691348375696615,0.319234603011958
"ASH1L",0.0872555544578651,0.166975508749504
"RABL3",0.0853205348606094,0.139449864697961
"DUT",0.078903337465659,0.140262873091078
"SCGB2A1",0.14689544110896,0.541055840936094
"FRMD1",0.00569052309039177,0.672749006301206
