"","Hugo_Symbol","PRAD_Median"
"245","GDF3",1.075
"246","SRP72",1350.18
"247","RPL23",46831.31
"248","TNP1",0
"249","BAK1",293.07
"250","CACNA1G",27.84
"251","TNFRSF10B",416.52
"252","TRPM3",8.3
"253","TTC33",236.215
"254","RPAIN",651.59
"255","RC3H2",221.86
"256","TCTEX1D1",9.445
"257","KDM8",126.565
"258","ULK1",542.1
"259","EWSR1",3847.29
"260","AC068533.7",11.185
"261","CDKN1A",1657.945
"262","UBAP2L",1757.385
"263","NAP1L5",161.035
"264","RASD2",387.02
"265","BCL7C",783.2
"266","RP11-12J10.3",7.14
"267","ABHD5",295.11
"268","CCDC36",4.425
"269","C6orf226",490.155
"270","AC027307.3",15.68
"271","ISL1",140.635
"272","ATP6V1C1",545.855
"273","LMF1",470.315
"274","SNTN",3.26
"275","PXMP4",333.315
"276","ETV2",53.005
"277","OR5K2",2.19
"278","RETSAT",1119.56
"279","GEMIN6",183.84
"280","VARS",597.415
"281","LRRC59",1508.685
"282","GPX7",304.51
"283","TIAF1",116.795
"284","EXO1",8.19
"285","HMX2",1.255
"286","POLK",233.755
"287","C12orf56",18.7
"288","IL33",507.51
"289","THADA",723.095
"290","CD7",95.39
"291","COL11A1",3.52
"292","MRPL46",543.96
"293","C1QBP",2303.12
"294","HAUS6",98.405
"295","NR3C1",495.28
"296","FILIP1",43.02
"297","SCD5",352.365
"298","TCF19",153.35
"299","HIST1H1B",0
"300","SBNO2",507.51
"301","NAE1",791.425
"302","SLC27A6",55.105
"303","MYO18A",507.46
"304","TRMT44",230.52
"305","RPL4",61999.83
"306","MAGEE1",89.195
"307","OSER1",775.05
"308","EEPD1",272.425
"309","CRLS1",1540.37
"310","C20orf24",1605.865
"311","VCL",2319.365
"312","DRD2",14.725
"313","FGFRL1",337.965
"314","ART4",8.22
"315","RCOR3",785.895
"316","CACUL1",297.17
"317","ZNF707",181.285
"318","PDE3A",116.88
"319","NRIP1",244.595
"320","BOLA2",177.53
"321","COG6",307.69
"322","CRK",735.74
"323","PLEKHJ1",1268.58
"324","B4GALNT2",0.28
"325","HNF4A",0.38
"326","FGFR2",805.245
"327","EIF3L",13399.51
"328","UGT1A1",9.825
"329","CHRDL1",1628.415
"330","DEFA5",0
"331","LRRC25",34.51
"332","SH2B2",53.195
"333","VCAN",203.515
"334","BCOR",440.135
"335","MSL2",262.2
"336","FCGR2A",210.635
"337","GPR158",15.05
"338","FAM114A2",319.685
"339","MCHR1",1.535
"340","CTD-2368P22.1",86.73
"341","PBX3",872.1
"342","INMT-FAM188B",39.23
"343","GAS8",379.04
"344","SPAG7",1832.01
"345","SLC8B1",449.38
"346","ADARB2",10.52
"347","ZNF518B",246.285
"348","POU3F3",0
"349","GSPT1",1407.59
"350","SP140L",191.69
"351","DTHD1",1.83
"352","EIF4EBP3",1304.15
"353","PTPN2",516.355
"354","DIEXF",80.57
"355","AK5",46.045
"356","PDHA1",1923.19
"357","SLITRK2",12.185
"358","RBBP8",412.04
"359","LRRC73",25.355
"360","MYO1C",2351.59
"361","EGR4",0.76
"362","STAT2",1167.14
"363","DLGAP4",1208.34
"364","DCTN4",746.02
"365","LRRN4CL",72.775
"366","TPPP2",4.115
"367","IRF2BP1",516.38
"368","LMO3",262.205
"369","ABI1",730.65
"370","IKZF3",10.205
"371","TET2",103.695
"372","LRRC9",10.795
"373","GRWD1",455.67
"374","ZNF852",50.095
"375","SAPCD1",39.235
"376","CACNB4",43.63
"377","GUCD1",2179.04
"378","EPHB6",836.53
"379","MSL1",1195.835
"380","XRCC6BP1",166.235
"381","IRAK1BP1",71.265
"382","TVP23B",964.465
"383","UPF3A",915.525
"384","CCNK",557.345
"385","RNF208",282.56
"386","DHCR24",5007.415
"387","SPG21",1800.535
"388","NRBP1",1745.2
"389","NNT",609.99
"390","CYHR1",1903.25
"391","SRD5A3",347.5
"392","ZNF317",450.94
"393","MIA2",7.66
"394","IL34",115.57
"395","SPTBN2",944.82
"396","ATR",400.71
"397","LNP1",56.73
"398","APOE",887.35
"399","SLC28A1",0.45
"400","CLDN5",366.175
"401","RNF144B",470.145
"402","RNF43",334.465
"403","BX649567.1",0
"404","OR1J1",0
"405","APBB3",327.56
"406","LRMP",96.7
"407","RP11-598P20.5",39.73
"408","EXOC7",1883.54
"409","PPP4C",1745.235
"410","SH2D3C",135.245
"411","MGAT1",2232.37
"412","TMEM243",573.04
"413","NSDHL",593.37
"414","PPM1K",397.945
"415","APOA1",6.785
"416","ZNF442",48.185
"417","NPIPB8",3.515
"418","AL133262.1",0
"419","SSU72",2925.595
"420","BMPR1B",527.375
"421","NELL2",172.65
"422","ZACN",326.435
"423","MAPRE3",583.085
"424","TTC24",0.955
"425","AVPR2",23.17
"426","CYP26B1",37.995
"427","RPS28",23330.64
"428","CSNK2A2",723.08
"429","GREM2",54.145
"430","SRGAP3",128.345
"431","PATZ1",693.58
"432","ARAP3",152.28
"433","PARK2",42.11
"434","TCF15",3.215
"435","EIF3E",7306.07
"436","IZUMO2",3.055
"437","BAIAP3",173.85
"438","MTHFR",200.58
"439","CNKSR1",414.87
"440","TMEM67",131.975
"441","AC024592.12",35.505
"442","RP11-345J4.3",14.89
"443","PXDN",435.55
"444","PCDHB1",0.145
"445","PRR22",45.875
"446","ZNF114",6.44
"447","LRRC38",0.36
"448","GPR176",233.005
"449","FAM188A",498.73
"450","WDR5B",113.165
"451","SLC22A17",1561.89
"452","KRT8",11504.49
"453","CYB5B",1896.65
"454","MBTD1",148.1
"455","PARD3",551.58
"456","WDYHV1",372.515
"457","PLEKHF2",234.575
"458","MAMDC4",67.835
"459","SLC25A28",1135.225
"460","APMAP",1769.615
"461","CNTNAP3B",48.525
"462","ACY3",21.24
"463","CGB2",0
"464","HTR2A",2.89
"465","THOC7",1350.18
"466","USP4",788.615
"467","C19orf70",1903.25
"468","GRIK2",27.26
"469","SLC50A1",1482.94
"470","PTPN11",720.58
"471","SUPT20H",627.2
"472","SLC44A5",9.985
"473","ZNF484",53.76
"474","DGKB",1.81
"475","DPYSL3",2351.53
"476","PHTF2",145.535
"477","SACS",101.21
"478","CLSTN2",26.86
"479","TNFSF10",2609.55
"480","C12orf60",39.24
"481","GNLY",61.47
"482","SPRED2",334.46
"483","MSRB2",1175.295
"484","ATG5",512.78
"485","SPRN",47.005
"486","GTF2I",3443.31
"487","DHH",6.65
"488","POM121L7",0.675
"489","CEP350",189.68
"490","TGIF1",1763.455
"491","HNRNPA1L2",203.375
"492","PRKCH",495.28
"493","WDR66",34.265
"494","LPHN3",26.86
"495","ZFAND6",1674.225
"496","RPUSD3",698.41
"497","SLC25A32",240.355
"498","DCD",0
"499","LRRK2",57.08
"500","ATF5",816.5
"501","RBM41",148.12
"502","ZNRD1",691.18
"503","OR52N2",0
"504","ZCCHC2",221.865
"505","FABP1",0.465
"506","CDKN3",31.45
"507","SYNE2",688.935
"508","DIRC2",286.035
"509","ZMYND11",1204.16
"510","PPARGC1A",76.71
"511","CRYL1",1584.045
"512","C2CD4B",23.42
"513","PCSK6",76.895
"514","ITGB3BP",367.475
"515","ATF7IP2",154.42
"516","CRIPAK",92.06
"517","WAS",106.295
"518","NMNAT1",172.05
"519","SUPV3L1",561.23
"520","TSPO2",0
"521","MDGA1",52.27
"522","AC017081.1",0
"523","RHOBTB1",157.135
"524","GAPDHS",0
"525","KIAA0040",344.025
"526","DNAJA4",915.525
"527","SLC24A3",257.715
"528","ECE1",2004.85
"529","IFRD1",545.855
"530","GPRC5D",17.835
"531","HNRNPUL2",977.895
"532","CCDC41",97.36
"533","PRDX1",8658.3
"534","CCDC66",191.005
"535","RPL7",58049.005
"536","ARHGAP26",123.935
"537","DIMT1",483.38
"538","NDUFC2",4639.74
"539","SLC22A5",413.46
"540","KLRF1",16.09
"541","C4orf32",64.57
"542","WNK3",17.965
"543","FAM186A",3.69
"544","ARL6",120.12
"545","SPOCK3",842.44
"546","AC105020.1",8.415
"547","BRCA1",49.04
"548","CHIC2",347.515
"549","KCNIP3",175.68
"550","NGF",28.89
"551","LMLN",64.8
"552","FKBP5",2609.365
"553","GUSB",1299.64
"554","B9D2",187.71
"555","CGB5",0
"556","EIF2B1",783.16
"557","ETV6",279.2
"558","YIPF5",725.595
"559","MLXIPL",29.06
"560","ZNF273",100.48
"561","COMMD6",5219.725
"562","METTL23",857.23
"563","FAM127C",452.515
"564","PSEN1",813.63
"565","RASAL3",50.095
"566","RP1-102H19.8",10.16
"567","SCAPER",291.045
"568","HPS1",1208.34
"569","ADSS",693.58
"570","CTCF",583.07
"571","SPATA12",0.74
"572","GCK",13.225
"573","TMEM184B",679.29
"574","NBEA",206.94
"575","CRAT",1442.225
"576","RABGEF1",458.845
"577","GCKR",7.97
"578","PAGE2B",0
"579","ANKRD20A1",5.795
"580","STARD3",981.31
"581","ZNF714",59.76
"582","PLGLB2",17.45
"583","CNGA1",82.305
"584","CADPS2",581.22
"585","ANO8",87.03
"586","PMVK",1216.865
"587","SLC39A13",860.08
"588","NPTX1",21.475
"589","NBPF16",69.77
"590","TBXA2R",38.26
"591","ASS1",2443.32
"592","ENPP6",44.275
"593","SGTA",1340.875
"594","AC011239.1",3.91
"595","GRK1",0.55
"596","MAGED1",3168.49
"597","HSF2BP",13.37
"598","LTV1",397.945
"599","HPCAL4",3.665
"600","FPR3",41.535
"601","TSPAN6",967.785
"602","BORA",54.335
"603","PCGF2",810.815
"604","GRM2",4.48
"605","TARDBP",2247.905
"606","IMPA1",292.055
"607","R3HDM2",951.26
"608","ZNF490",31.005
"609","PAAF1",609.99
"610","ZFP69B",16.39
"611","CYP4F22",59.13
"612","DOK5",14.845
"613","ARHGEF11",352.38
"614","PLEKHH1",490.33
"615","ZNF429",265.87
"616","RNF150",137.145
"617","PTPRC",146.32
"618","PFKFB3",507.46
"619","CD93",237.865
"620","ZFR",906.03
"621","FNTB",373.81
"622","TNFRSF14",1832.055
"623","ELOVL6",95.675
"624","ROBO2",30.125
"625","ASXL2",129.245
"626","ACAD9",627.17
"627","NPIPA2",20.355
"628","SIAE",618.52
"629","MARCH5",783.16
"630","ANXA10",0.84
"631","MPST",1268.58
"632","ANXA6",3528.085
"633","MT-ND1",136230.585
"634","WNT3A",38.67
"635","CASC4",1950
"636","AC114494.1",2.805
"637","PAK1IP1",1208.805
"638","TMEM179",8.19
"639","TMEM260",206.225
"640","CKLF-CMTM1",19.18
"641","ENOX1",80.295
"642","ISG20L2",509.23
"643","CYP2C8",6.01
"644","CXorf40A",426.575
"645","ASTE1",112.395
"646","CDC14A",167.91
"647","CLGN",366.13
"648","CCDC91",443.18
"649","DCAF16",348.715
"650","SCAND3",40.39
"651","MAS1L",0.795
"652","MSL3",367.37
"653","CLDN16",8.92
"654","ANKRD33B",6.515
"655","ACSS1",816.465
"656","RACGAP1",110.045
"657","PIK3CA",191.005
"658","GLIS3",98.735
"659","HOXA11",270.54
"660","TAL1",28.86
"661","RSBN1L",227.335
"662","FAM86B2",15.395
"663","PCDHB7",21.475
"664","TXNRD2",1066.59
"665","MRPL55",1998.02
"666","RUFY3",488.445
"667","KRT16",78.64
"668","CCNE1",30.895
"669","GNL2",738.29
"670","RILPL1",283.075
"671","GPR75",28.965
"672","GPATCH2L",266.815
"673","CALCRL",160.46
"674","RAB4B",954.45
"675","MBTPS1",1373.805
"676","GP5",0.87
"677","FAM228B",358.545
"678","AL590714.1",0
"679","PHF5A",684.02
"680","FKBP8",6863.83
"681","PIK3R2",75.73
"682","SV2B",44.78
"683","CD3EAP",56.085
"684","DEFB4B",0
"685","CACNB1",120.33
"686","SMARCAD1",248.9
"687","RAP1GAP",658.435
"688","NRARP",184.465
"689","SLC22A23",497.765
"690","GGH",116.395
"691","MTG2",761.72
"692","CCL13",10.715
"693","CHRD",97.42
"694","THOC1",419.225
"695","MVB12A",984.705
"696","SEC14L5",9.34
"697","MAGT1",1119.665
"698","ZDHHC5",1001.95
"699","NPPA",4.88
"700","ALDH5A1",210.575
"701","LAMP5",30.78
"702","NCAPH2",743.45
"703","HIST1H4F",0
"704","DOCK2",67.225
"705","RP2",144.52
"706","PPP1R14D",11.34
"707","TMEM55B",728.135
"708","TRPM1",0
"709","ALOX15B",2126.7
"710","CRMP1",126.69
"711","AMICA1",140.53
"712","LRP10",2564.47
"713","XAF1",289.02
"714","DGCR2",1317.985
"715","KRT80",42.42
"716","LPCAT3",1567.325
"717","EZR",3443.31
"718","FAM21D",346.325
"719","SGPL1",573.04
"720","TTBK1",3.07
"721","SLC28A2",0
"722","FAM98C",530.9
"723","SDS",23.445
"724","MOGS",1023
"725","UGT3A2",5.5
"726","CTNND1",2295.16
"727","MT-CO3",338911.76
"728","PLA2G3",4.78
"729","MTCH2",1462.51
"730","SPINK2",12.18
"731","LMBRD2",123.07
"732","ARID3C",1.015
"733","TDRD5",15.22
"734","ASPDH",4.72
"735","ADAM28",136.4
"736","UCN",18.425
"737","DHRS11",276.24
"738","ATXN2L",1250.98
"739","MAOB",1408.4
"740","C17orf53",16.45
"741","TAF4",139.07
"742","GMPS",581.08
"743","AREGB",0.325
"744","PSMC6",1457.26
"745","STOM",2417.735
"746","LIN9",39.79
"747","CRY2",738.29
"748","NEFM",13.38
"749","ZSCAN32",232.965
"750","ANKRD49",290.07
"751","ELMOD2",314.17
"752","SNAI1",58.095
"753","HSDL2",569.105
"754","C9orf96",45.21
"755","SEC31B",61.265
"756","TAS2R43",0
"757","TIRAP",201.255
"758","LONRF1",450.985
"759","STAG3",39.085
"760","BST2",2148.87
"761","RRM2",24.665
"762","CAPN14",3.03
"763","EPHX4",16.63
"764","BMX",16.94
"765","FAM101B",165.575
"766","ATP8B2",545.855
"767","C9orf3",1903.25
"768","SNX21",470.145
"769","PORCN",239.52
"770","PITX1",310.93
"771","KCNA1",0
"772","CLDN18",1.21
"773","RP11-315D16.2",0
"774","CCDC79",0
"775","MFSD6",654.035
"776","M1AP",7.03
"777","SMAD7",447.82
"778","NINJ2",87.03
"779","PTX3",15.51
"780","CGN",490.14
"781","C9orf117",13.725
"782","COL21A1",82.58
"783","SLC43A2",353.59
"784","GSTZ1",1242.34
"785","MIPEP",523.575
"786","METTL8",212.055
"787","KDM4B",571.05
"788","MEPCE",866.09
"789","MOCS2",1147.08
"790","CSTB",1691.66
"791","NIPA1",168.565
"792","NUMBL",387.03
"793","PON3",35.125
"794","PTGDR2",3.875
"795","FARP1",1208.34
"796","PPFIA1",444.72
"797","SMAD1",308.775
"798","MGLL",660.68
"799","AC135178.1",35.25
