"Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus"
"CUL5",206.94,297.17,248,193.01,339.175,149.12,214.27,264.035,242.88,218.79,269.6,263.115,221.86
"REV1",591.22,620.67,587.13,432.53,364.845,232.94,555.41,529.06,395.18,388.37,658.395,618.55,769.69
"ZNF428",718.08,543.96,1457.23,743.43,860.1,743.43,718.08,1100.315,532.74,583.085,1199.98,1578.235,995
"CX3CR1",13.42,197.09,43.63,12.18,50.11,21.47,96.01,55.295,48.52,17.9,21.705,39.655,7.815
"FAXC",332.14,159.9,50.98,249.73,64.405,0.21,99.43,285.03,98.04,76.17,49.735,238.69,605.77
"PKP2",84.63,312,108.14,279.14,149.155,299.25,47.17,295.12,476.71,397.93,11.255,127.05,232.94
"BNIP2",1175.27,1487.87,1268.46,796.86,857.23,769.69,1397.83,902.905,902.89,813.63,998.465,1012.415,981.29
"HOXB7",244.57,241.19,417.77,483.38,1155.065,12.64,81.71,73.8,14.45,109.28,12.5,327.56,29.805
"GRIN3A",2.29,6.21,8.19,7.75,3.38,2.18,4.43,10.045,2.71,2.825,3.5,4.15,6.06
"FCRL5",2.89,29.91,22.43,28.86,3.48,9.78,30.78,2.915,17.13,64.8,5.235,2.835,27.64
"GPR150",4.28,4.94,5.73,5.73,1.245,1.46,5.92,7.485,1.73,7.72,1.93,1.93,7.69
"ADORA2A",62.12,50.98,76.17,92.7,100.365,96.01,242.88,49.395,32.36,83.745,65.72,81.19,88.88
"YBX2",24.11,98.04,120.94,178.77,37.65,38.67,4.7,37.19,32.82,68.07,63.45,30.345,111.21
"CD1B",2.53,3.47,8.13,1.66,0,0,15.11,0,8.92,2.275,0,0,1.95
"MORC2",518.15,525.39,567.1,361.04,291.06,348.71,361.04,466.88,361.04,288.015,389.72,603.68,527.225
"RHBG",25.72,2.23,1.48,0,337.31,133.36,0.39,3.26,12.45,6.135,0.995,0,70.01
"GART",642.59,896.64,551.56,679.29,640.83,438.59,587.13,579.04,836.53,612.11,656.11,559.28,902.89
"CLCN2",41.22,51.35,69.03,346.29,100.83,48.87,49.56,83.745,45.21,103.69,115.97,103.69,114.36
"IFIH1",127,291.04,169.07,185.11,239.545,181.28,299.25,195.04,236.21,209.11,192.34,218.03,166.73
"CTAGE8",23.25,78.34,50.63,44.25,91.41,27.84,52.82,40.5,63.45,29.805,150.17,28.96,115.97
"AL035252.1",241.19,255,320.8,591.22,235.025,466.88,325.29,866.07,397.93,275.28,228.925,228.925,265.87
"SMYD3",409.15,371.22,395.18,244.57,371.23,154.42,435.55,321.915,190.34,235.39,665.29,403.655,283.05
"NARF",1540.37,1066.48,1216.75,1233.75,857.23,753.83,1081.39,1171.205,1216.75,991.56,1051.79,1093.02,1175.27
"FAM177A1",1477.58,1199.98,1277.29,1950,1645.375,1359.57,2400.97,2303.12,1388.16,1304.18,1304.15,944.595,1304.15
"PLGLB1",38.12,64.8,73.03,47.5,33.785,3103.19,34.02,39.655,17,40.645,90.455,86.775,96.01
"CTC-435M10.3",0,0,0,0,0,0,6.11,0,0,0,0,0,0
"AC079354.1",0.44,0.85,2.53,0.74,0.34,7.63,8.38,0.25,0,0.65,0,1.59,0.845
"C4BPA",0.28,60.39,27.64,12.18,1.98,21172.91,7032.37,1.62,1.83,1.97,0.95,15,1.685
"SORD",555.41,320.8,305.55,262.2,1239.71,7803.01,191.67,7081.29,733.19,667.605,7407.72,225.755,698.41
"PMP2",17,1.68,5.59,11.13,2.825,1.48,0.74,16.33,4.86,7.34,3.86,2.505,26.57
"UBTD2",273.37,460.44,595.34,307.69,296.185,161.02,305.55,286.02,206.94,241.19,242.035,457.265,248.865
"BTRC",183.82,248,162.14,137.14,187.71,87.03,138.1,250.605,224.97,146.03,189.02,190.34,239.52
"PAGE4",0,0,23.42,0,6.525,0,0,2126.9,0,0,0,1040.905,15.975
"CTB-58E17.5",8.32,8.06,17.9,8.65,22.59,2.81,5.45,23.08,6.52,7.43,27.25,12.225,6.94
"LIFR",299.25,759.08,379.04,143.01,499.095,221.86,647.07,642.59,92.05,319.685,658.395,667.605,516.355
"ADPRM",264.03,314.17,329.84,211.31,180.66,193.01,199.85,512.78,164.42,222.635,305.55,339.15,238.69
"CCDC25",551.56,791.35,470.14,567.1,791.425,633.73,525.39,616.39,575.03,633.73,733.19,595.34,563.18
"NDN",629.35,896.64,4704.07,738.29,412.485,105.89,674.59,925.09,301.33,409.185,527.225,1923.19,1019.465
"SLFN12",63.89,166.73,48.52,55.49,78.37,20.11,128.79,57.485,55.89,54.14,140.53,116.375,93.68
"ZC3H18",473.41,438.59,551.56,607.87,353.595,332.14,525.39,478.375,480.04,497,583.07,601.58,649.325
"GSTP1",22380.2,10883.59,27174.14,12076.21,21558.68,1340.84,23656.34,13494.01,33688.23,18819.27,23169.48,14714.795,51775.15
"WDR72",14.89,3.53,24.11,4.1,1215.165,351.14,8.58,3.975,40.07,5.405,1005.415,8.715,9.78
"SPAG8",36.79,43.02,42.41,32.82,35.375,8.85,85.82,58.095,15.56,28.86,151.22,119.685,75.905
"EIF5A2",83.45,127,164.42,71.5,111.01,27.84,76.17,75.375,60.39,138.105,63.89,105.555,178.77
"PPP3CB",1081.39,1059.11,1037.29,819.3,676.97,287.01,642.59,961.095,684.02,565.14,607.87,1040.955,1077.65
"ZBTB8A",95.34,97.36,113.56,65.72,63.95,21.94,91.41,92.055,46.84,82.87,105.15,124.805,100.83
"CYP4X1",68.55,483.38,201.25,23.59,121.89,83.45,221.86,173.87,312,209.14,84.925,53.995,441.64
"PLIN2",1674.06,2645.74,1304.15,995,2591.83,12589.08,2451.44,644.83,660.68,872.12,579.04,951.13,998.465
"B3GNT9",223.41,156.59,470.14,116.78,224.295,43.63,255,337.965,115.97,180.66,718.08,298.22,336.79
"THNSL1",51.71,97.36,89.51,49.21,187.71,236.21,44.25,70.26,55.1,41.96,138.585,105.89,40.07
"AKR1B15",22.43,24.81,2.27,3.44,0.39,0,0,1.21,88.26,39.665,5.45,0,93.35
"TMEM184A",209.84,108.14,31.22,117.6,124.875,329.84,62.56,316.37,543.96,388.39,20.71,25.635,2976.74
"PEX19",1259.69,2075.59,1044.52,1051.79,1622.63,1857.6,1088.92,1383.365,896.64,954.43,1350.18,1016.025,1216.78
"WDR4",170.25,147.06,155.5,147.06,132.9,100.83,127.89,128.34,218.79,135.715,181.28,148.09,275.28
"ACOT12",0.61,0.89,2.41,0.53,40.5,1923.14,0,2.745,0.4,0,0,0.915,0.61
"DYNC1I1",500.46,62.56,111.21,113.56,47.34,6.52,22.26,136.2,23.76,33.18,63.45,68.31,144.01
"GPT",18.84,143.01,16.39,325.29,502.885,4066.71,18.56,50.99,236.21,523.575,31.785,23.17,135.24
"VMO1",66.65,39.5,68.55,48.18,78.41,242.88,384.34,72.52,114.36,38.95,31.22,62.845,34.75
"MARCH4",0,0,1.91,3.99,1.115,0,2.1,1.045,0,4.72,0.26,0,0.88
"AXIN1",387.02,279.14,400.71,521.76,232.94,170.25,351.14,341.515,363.56,367.37,377.725,434.04,435.55
"MANBAL",2061.24,1498.22,1819.35,1757.34,1782.57,674.59,1397.83,2311.135,1437.15,1482.725,1950,2609.3,1991
"FUT1",44.57,67.59,48.18,10.63,37.86,10.47,134.3,47.17,67.12,116.78,32.36,39.645,88.26
"MKS1",220.32,318.57,343.89,256.78,282.105,133.36,264.03,289.02,237.86,214.27,372.515,416.32,309.83
"KCNK15",11.91,31.9,525.39,10.16,29.35,4.58,22.26,31.67,22.92,52.82,69.52,102.97,87.34
"HOXA1",73.54,22.75,4.24,27.84,21.875,3.2,8.32,16.03,10.39,17.705,2.56,9.52,60.39
"ZBP1",10,27.64,39.79,46.84,5.15,16.27,68.55,10.675,22.43,49.215,17.705,11.82,23.25
"OAS1",890.44,460.44,348.71,909.17,420.72,791.35,753.83,284.04,896.64,866.09,191.67,251.63,1340.84
"NLE1",255,299.25,231.32,193.01,177.09,127,163.28,242.88,269.6,206.94,198.47,309.845,236.21
"GPR183",511,223.41,151.22,297.17,69.765,79.45,514.56,150.695,189.02,256.78,228.13,82.32,247.14
"OR51E1",9.13,30.56,4.98,16.51,12.42,0.36,0,93.375,2.94,8.955,8.095,20.935,19.68
"BEST3",0,2.89,0,0,11.21,0,0,21.085,21.78,0,0.21,0,0
"ATCAY",0.68,0.27,6.31,13.72,0.995,0.06,0.16,55.495,0.31,5.125,0.34,0.55,8.71
"SAP30L",532.74,743.43,616.37,651.58,488.445,529.06,616.37,551.56,447.82,529.06,525.39,662.985,635.94
"TNFRSF11A",26.1,92.7,61.68,123.5,12.785,8.71,29.27,48.87,84.04,74.07,32.475,22.67,79.45
"DENND5A",1277.29,1250.98,1519.15,728.11,718.095,295.11,1286.18,827.915,429.54,368.65,748.61,1290.655,1417.35
"SASS6",41.81,60.39,42.41,47.84,29.06,15.8,31,46.34,42.41,45.21,40.215,50.805,59.13
"NKPD1",2.71,11.55,4.94,1.17,0.335,0.09,0.75,15.74,14.03,2.94,4.78,1.87,19.53
"GLIPR1L1",1.33,3.76,0.54,1.35,3.265,0.65,1.43,1.97,0.53,2.2,2.955,2.435,4.78
"GPC5",0.65,2.43,0.37,5.82,95.675,7.11,35.5,2.705,1.14,2.1,7.54,0.39,1.455
"TMTC3",145.02,172.65,125.24,86.43,161.605,76.71,111.21,159.345,167.9,112.77,100.83,129.695,191.67
"GRAP",67.12,96.68,260.38,53.95,119.265,100.83,190.34,50.98,30.34,47.505,111.21,192.34,41.225
"CCDC34",148.09,295.11,211.31,156.59,126.12,49.91,69.52,159.345,162.14,142.01,144.01,183.21,157.68
"RASA3",241.19,444.72,967.76,248,112.795,82.29,273.37,163.85,81.71,183.83,329.84,285.03,444.72
"NR4A3",346.29,96.68,132.44,38.12,172.68,36.79,283.05,118.845,50.98,115.97,141.02,49.21,146.545
"BYSL",346.29,303.44,289.02,208.38,213.54,205.5,221.86,281.09,420.68,191.005,178.77,352.365,312
"DCUN1D2",162.14,269.6,303.44,236.21,220.325,122.64,215.77,223.41,202.66,239.52,156.045,320.83,389.72
"SASH1",351.14,759.08,460.44,199.85,392.475,79.45,540.19,222.635,490.14,180.02,827.875,222.7,967.76
"SLC41A3",967.76,1066.48,1437.15,674.59,1277.41,329.84,775.05,925.09,764.36,728.11,1286.18,1617,848.22
"KAL1",21.94,170.25,115.16,6.52,26.055,4.82,836.53,124.805,57.89,19.68,201.955,9.235,29.91
"SGK223",63.89,287.01,127,104.42,83.025,36.01,197.09,109.295,189.02,173.25,761.72,76.175,172.65
"SLC18B1",260.38,316.37,366.09,241.19,454.095,115.97,198.47,176.91,329.84,274.325,351.14,255,392.44
"FGD5",191.67,406.31,234.57,120.1,318.57,62.12,633.73,128.79,73.54,134.3,199.85,414.96,232.94
"SPINK7",22.59,0.67,5.59,1.14,4.625,0.91,2.07,1.04,414.87,70.775,1.71,0.29,10512.82
"PLCXD2",138.1,17,2.34,29.48,1171.77,1015.93,289.02,133.84,41.81,153.34,24.81,3.76,67.59
"DEFB1",785.88,842.36,1159.07,208.38,31699.48,6471.02,173.85,705.73,9344.14,420.84,30.56,94.34,3716.2
"CD27",55.1,104.42,102.25,105.89,20.71,43.32,128.79,43.785,121.79,181.28,174.46,53.385,86.43
"SLC41A2",44.25,256.78,144.01,226.54,176.92,1119.56,177.53,92.05,58.71,458.845,198.47,81.43,138.1
"TAGLN",90146.51,34876.28,52497.92,95949.32,8894.24,2720.15,15392.14,106110.14,3589.58,22771.555,7130.55,155601.16,201445.145
"TBX20",98.73,0,0,0,0,2.97,0,0,0,0,0,0,1.97
"C11orf24",486.75,540.19,620.67,872.1,423.655,1508.65,529.06,569.075,454.09,961.07,381.68,794.105,759.08
"AZGP1",273.37,26067.14,633.73,199.85,1402.69,65535,612.11,30056.23,2148.82,1739.25,9.665,35.76,154.96
"C4orf51",0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB9",103.69,165.57,135.24,85.82,153.525,57.49,110.43,119.26,109.66,92.055,125.24,138.1,109.66
"AOC2",21.01,33.54,17.13,8.58,10.195,16.03,29.48,9.93,6.89,8.005,12.98,19.04,25.26
"OIP5",21.01,19.53,18.7,41.52,8.415,8.78,13.52,13.57,52.45,31.335,8.51,18.905,84.04
"GPR63",10.24,11.13,23.76,19.25,9.445,0.47,7.28,19.535,7.11,15.91,12.45,7.94,18.095
"ARPC5",2303.12,2682.69,2434.5,3081.75,1800.79,1583.71,4903.87,2075.59,2502.97,2054.12,2240.11,3246.265,2758.13
"ANKRD36",74.06,145.02,88.26,91.41,43.34,19.97,80.01,71.515,33.78,93.68,121.79,128.79,227.335
"CSNK2A1",981.29,1119.56,988.12,872.1,1085.935,356.05,728.11,878.17,1111.82,995,825,785.895,1127.35
"LAPTM4B",995,1081.39,3303,607.87,2119.425,329.84,1183.45,775.12,909.17,1187.57,772.37,1769.615,700.88
"SP1",684.02,967.76,571.05,603.67,618.61,242.88,563.18,547.75,642.59,676.94,493.56,656.13,1015.93
"DAW1",0,0,2.92,0,10.55,0,66.18,0.49,0,0,1.72,0,0
"PTH1R",136.19,182.55,669.92,85.82,4448.965,896.64,299.25,70.505,21.78,65.49,55.49,422.145,351.14
"C10orf62",0.45,0.47,0.74,0.31,4.445,3,0.38,0.62,0.36,0,0.685,0.51,1.17
"SECTM1",638.15,287.01,507.46,1191.69,309.86,127,1008.9,389.73,775.05,772.37,78.62,375.11,287.01
"PLCE1",165.57,88.26,112.77,366.09,98.755,11.13,195.72,58.92,40.64,147.06,175.07,196.67,323.03
"TDRD12",2.36,7.63,30.78,2.43,1.9,0.44,1.46,4.92,2.05,1.54,7.17,3.725,3.725
"EBNA1BP2",1295.13,1135.2,1151.06,1183.45,1336.205,1561.89,1104.13,1277.29,1508.65,1135.2,1397.83,1427.22,1313.23
"CDK19",175.07,246.28,299.25,194.36,175.07,78.34,176.29,379.37,151.22,164.42,161.58,246.285,256.78
"APEH",1594.73,1617,1369.04,1977.24,3146.595,1721.16,1617,1984.12,1991,1800.535,2255.7,1295.165,1733.13
"NAB1",493.56,808,540.19,368.65,420.69,358.54,381.68,347.5,500.46,458.845,656.11,483.57,651.58
"SLC35D1",148.09,164.42,155.5,346.29,206.22,813.63,96.68,158.235,130.6,205.5,152.28,111.6,162.14
"SLC35E4",74.06,41.81,57.89,86.43,42.715,8.25,37.85,45.855,66.65,70.015,34.385,92.05,98.73
"WWP2",624.99,728.11,567.1,748.61,893.54,295.11,981.29,674.605,665.29,836.53,693.58,713.11,764.36
"ANKRD11",934.76,934.76,1044.52,854.13,919.36,429.54,1044.52,863.075,902.89,1026.56,1062.795,1092.71,1313.23
"PGBD2",95.34,142.01,139.07,98.73,74.06,68.07,91.41,118.43,92.7,87.645,176.29,137.62,147.06
"C17orf104",3.86,6.73,4.9,5.11,19.69,5.68,4.1,4.84,4.24,5.61,7,6.7,9.595
"PLCL1",61.25,100.83,38.95,58.3,617.575,5.41,75.11,114.82,25.72,37.85,73.285,88.265,304.495
"FRY",698.41,536.45,283.05,253.23,524.105,220.32,813.63,299.275,115.16,248.865,231.32,332.175,819.3
"DHRS7B",764.36,928.3,896.64,688.78,1119.585,563.18,866.07,1066.48,780.44,656.11,848.22,785.955,480.04
"LGR6",82.87,273.37,273.37,38.67,21.255,24.11,54.33,124.805,80.57,19.82,154.435,19.055,132.44
"CRLF3",157.68,249.73,163.28,183.82,107.775,67.59,265.87,115.16,201.25,153.35,128.34,139.75,285.03
"AP003733.1",2.81,4.66,6.67,6.89,8.385,8.06,7,7.455,2.78,6.01,17.065,6.975,9.2
"TMC7",156.59,37.59,9.93,56.28,15.68,4.43,68.55,32.36,12,29.165,11.465,12.545,16.15
"CABP7",2.36,1.25,1.95,4.21,1.23,2.18,2.03,2.97,1.58,5.34,3.35,2.15,12.835
"NLRP6",3.2,2.03,0.99,8.78,14.805,34.02,6.41,2.01,1.57,18.165,2.34,0.92,3.32
"ARL6IP1",2240.11,2956.17,3280.18,2224.63,4166.82,4239.45,2255.7,2224.63,1923.14,1877.035,2351.53,1997.925,1781.89
"HSPA1A",7589.61,4066.71,4152.18,4388.98,5219.725,6207.38,3103.19,6676.11,6561.36,3384.325,3455.29,4624.595,5594.3
"C20orf112",204.07,283.05,463.65,441.64,268.665,82.29,204.07,197.78,67.59,276.24,205.5,205.5,223.415
"UNC13C",0,4.78,1.51,2.27,14.51,0,0.53,0.795,1.31,3.045,17.25,0.835,3.185
"FAT3",23.25,10.16,18.29,3.11,9.15,1.22,27.64,43.63,1.62,7.66,0.74,7.8,59.34
"GPD2",341.51,514.56,251.48,273.37,290.04,45.21,299.25,306.635,567.1,298.21,288.015,163.85,571.05
"BEST4",3.72,7.22,6.11,161.02,6.01,1.58,6.21,5.235,2.84,10.47,13.17,21.785,9.27
"UBR5",1008.9,1437.15,1030.12,947.83,700.88,409.15,775.05,944.55,902.89,633.73,995,1123.455,1183.45
"RP1-241P17.4",17.25,17.38,25.91,15.45,15.225,7.11,17.9,17.705,16.63,21.785,20.11,22.755,22.1
"TMEM249",2.05,2.48,1.81,4.82,0.92,3.06,1.75,2.645,1.64,2.25,1.96,1.725,6.285
"MDM4",171.45,248,154.42,165.57,113.63,82.87,186.4,170.26,98.73,218.045,267.73,177.53,377.725
"S100A1",65.26,3039.3,503.95,124.37,2645.805,105.89,66.65,107.76,2451.44,224.19,5201.57,167.315,209.84
"CRIP2",5006.93,4066.71,6983.79,1617,5672.41,1369.04,6250.56,2977.375,3901.01,2426.085,5183.54,6863.83,7032.54
"RP11-362K2.2",0,1.48,0,0,0,0,0,0,3.2,0,0,0,0
"ZNF300",53.95,88.88,67.59,39.22,62.12,7.06,31,61.035,36.27,46.675,130.145,144.535,114.36
"ASH1L",303.44,480.04,242.88,260.38,277.23,93.35,251.48,335.625,234.57,293.07,387.02,269.605,417.77
"RABL3",299.25,525.39,264.03,275.28,470.14,231.32,289.02,362.3,312,290.03,410.575,237.865,279.14
"AC110615.1",0,0,0,0,0,0,0,0,0,0,0,0,0
"DUT",1519.15,1857.6,2090.03,1832.01,1535.12,1001.93,1583.71,1851.18,1487.87,1340.84,2645.74,2654.945,2061.24
"SCGB2A1",0,339.14,555.41,40.07,99.43,0,48.18,302.385,65.72,200.58,110.43,280.16,17
"FRMD1",1.1,31.67,5.96,58.71,61.045,2.86,1,1.43,1.51,77.79,0.555,1.425,6.24
"GLI2",37.05,44.25,61.25,47.84,13.96,4.24,36.01,42.865,22.75,37.855,15.055,119.68,145.02
"ZNF436",293.07,503.95,329.84,148.09,164.565,42.11,122.64,252.355,264.03,131.52,270.54,277.21,395.18
"LRRC58",189.02,305.55,201.25,154.42,268.665,109.66,181.28,233.755,181.28,189.68,220.32,203.365,215.77
"AC004381.6",51.35,98.73,54.33,52.08,42.265,28.24,37.85,150.17,52.45,96.68,26.67,54.53,73.54
"NOVA2",31.22,80.57,48.18,21.01,50.81,11.91,148.09,22.03,9.2,29.375,55.89,95.005,61.465
"NCAPD3",142.01,242.88,126.12,178.77,137.17,175.07,175.07,1051.79,218.79,191.005,279.14,141.04,320.8
"AK3",1250.98,1340.84,1277.29,1437.15,2141.395,2384.37,1044.52,1208.34,1233.75,1378.57,1100.315,1115.69,1304.15
"KPNA3",518.15,444.72,339.14,387.02,312,265.87,497,310.93,551.56,329.85,334.46,349.925,571.05
"C1orf110",28.24,0,1.57,0,0,0,16.63,1.94,0,3.335,1.58,1.495,61.25
"FAM203B",0.61,2.48,4.43,1.38,2.675,4.46,4.43,0,0,3.395,0.795,1.11,6.705
"CDKN2AIP",417.77,409.15,414.87,361.04,471.795,195.72,299.25,361.04,444.72,334.46,341.51,395.18,529.06
"EID2B",48.18,50.98,68.55,43.63,55.69,12.09,48.18,57.895,11.13,26.76,93.68,126.12,87.03
"SLC51B",16.75,5.73,58.71,303.44,138.39,22.92,107.38,23.335,4.46,40.5,2.19,22.835,22.835
"MED9",232.94,318.57,387.02,318.57,547.865,264.03,258.57,372.515,249.73,251.48,438.59,393.81,247.14
"TBC1D5",318.57,629.35,381.68,267.73,587.13,157.68,444.72,402.105,316.37,325.29,493.56,359.79,341.51
"HSPH1",1286.18,1030.12,974.5,713.11,839.69,493.56,988.12,1151.085,1350.18,713.11,1051.79,1123.615,1030.12
"ABHD12B",11.64,14.14,13.83,19.11,7.275,3.89,12.36,3.215,8.13,3.35,2.685,8.155,9.13
"DRAM2",1135.2,2032.85,1044.52,1447.15,1336.275,656.11,1457.23,1062.795,1023,1220.985,884.29,1088.92,833.64
"KATNAL2",30.34,111.21,108.14,45.21,182.045,59.97,58.71,64.34,56.28,33.18,438.595,50.635,71.25
"IRGM",0.57,1.22,0.2,1.33,0.705,0,1.97,0.61,0.35,1.7,0.955,0.685,1.25
"ZBTB24",71,112.77,103.69,72.52,107.38,33.54,94.01,86.125,77.25,81.425,96.01,82.29,78.34
"SREBF1",1250.98,2287.2,1519.15,1628.26,903.085,3515.68,1407.55,2054.12,1745.2,1508.65,1107.975,872.1,2956.17
"ZC3H14",703.28,947.83,748.61,813.63,756.67,698.41,830.75,925.09,669.92,674.59,977.895,851.175,878.17
"ERBB3",713.11,1199.98,733.19,1467.37,941.27,1331.57,1167.14,1567.325,1572.76,2163.77,245.44,163.855,2758.13
"ITGA6",1540.37,1709.26,669.92,981.29,981.5,130.6,723.08,984.705,1498.22,1015.93,397.93,1040.905,988.12
"OR2B6",0,0,0,0,0,0.75,0.34,0.88,0,0,0,0,1.62
"ACOT4",20.26,93.35,20.11,37.85,138.605,212.78,69.03,35,29.91,38.95,24.195,18.23,33.3
"RIPK3",236.21,180.02,155.5,397.93,96.345,35.25,325.29,77.25,249.73,393.81,367.37,97.02,514.56
"CEACAM3",7.11,3.59,3.35,21.78,2.95,8.51,47.84,3.11,10.39,9.665,2.86,2.26,23.08
"DTNBP1",454.09,460.44,473.41,591.22,490.14,172.65,536.45,476.71,341.51,395.18,490.14,569.075,583.07
"PRPF38B",571.05,674.59,571.05,612.11,460.44,312,633.73,589.175,476.71,647.07,830.75,653.94,915.51
"GALNT16",63,476.71,61.25,100.83,232.2,39.22,69.52,125.68,59.13,68.31,106.635,127,166.735
"NOP2",463.65,426.57,318.57,480.04,257.675,320.8,429.54,423.61,603.67,434.04,553.485,507.475,836.53
"ZNF414",435.55,406.31,723.08,476.71,317.515,332.14,444.72,743.43,435.55,605.77,794.105,810.815,591.22
"LRP12",115.97,176.29,65.72,110.43,152.28,17.25,126.12,134.77,102.97,63.45,114.36,267.735,147.06
"WHAMM",190.34,221.86,171.45,172.65,132.94,106.63,158.79,171.45,158.79,149.12,197.78,149.645,214.27
"ASCC2",1183.45,947.83,819.3,967.76,700.845,1081.39,1008.9,1171.205,1508.65,1383.365,1242.34,890.44,1991
"RCL1",341.51,381.68,343.89,185.11,325.355,2956.17,361.04,199.85,283.05,217.28,225.755,279.14,255
"AZI2",723.08,1340.84,909.17,842.36,1059.215,514.56,1151.06,1051.79,764.36,845.29,1073.91,810.815,1073.91
"TGM4",0.79,0.62,3.41,0.75,0.305,0.09,1.28,261.29,1.35,0.565,0.21,0.17,1.28
"RBM11",67.12,71,52.82,28.65,86.73,3.96,72.52,69.765,26.86,46.835,163.28,114.76,91.41
"PPP1R3F",148.09,69.03,155.5,85.22,118.5,59.55,80.57,142.515,101.54,58.715,163.85,202.66,203.365
"RP11-650K20.3",3.66,14.56,2.36,5.73,18.51,11.13,2.41,4.425,4.43,3.89,12.405,7,8.445
"NHEJ1",229.72,289.02,218.79,511,335.675,198.47,232.94,249.73,177.53,301.33,124.37,267.755,248
"NXT1",642.59,426.57,647.07,361.04,367.475,234.57,493.56,426.575,511,449.38,414.87,665.29,441.64
"EFNA2",3.47,0,2.01,63,1.685,135.24,0.14,1.29,3.08,10.04,0.27,0,10.96
"GFOD2",392.44,412,543.96,432.53,387.03,633.73,373.81,397.93,607.87,340.325,389.72,446.27,909.17
"COPG2",878.17,1331.57,1250.98,559.28,918.955,265.87,660.68,761.72,854.13,423.61,836.53,1070.195,738.29
"ZNF248",178.77,228.13,269.6,201.25,133.895,54.33,137.14,272.425,94.01,145.035,329.84,341.585,271.48
"SRCIN1",75.64,98.73,39.22,37.32,18.595,107.38,25.72,49.91,41.52,49.39,20.335,39.085,82.87
"SPECC1L",389.72,536.45,303.44,473.41,381.69,202.66,483.38,573.125,299.25,297.17,567.1,435.56,693.58
"DCP2",170.25,279.14,287.01,142.01,177.53,85.82,220.32,172.65,153.34,155.5,159.9,198.47,164.42
"RPUSD4",339.14,503.95,400.71,353.59,268.675,332.14,316.37,351.14,470.14,381.68,348.71,491.875,486.75
"SFXN2",93.35,232.94,139.07,135.24,842.36,521.76,172.65,312,149.12,188.365,414.87,169.075,157.68
"DDX49",669.92,638.15,909.17,842.36,676.97,620.67,679.29,971.13,995,642.59,780.44,827.875,878.17
"LRLE1",0,0,0,0,0,0,0,0,0,0,0,0,0
"CNPPD1",1457.23,1225.22,1508.65,2004.85,3071.54,796.86,1617,1813.065,1447.15,1378.6,1806.78,1187.57,1788.09
"C8orf46",17.64,43.02,44.89,25.72,33.67,94.67,27.84,79.45,8.71,34.51,43.475,33.42,172.65
"HEXIM2",185.11,142.01,208.38,149.12,299.25,248,122.64,205.5,126.12,181.915,231.32,276.24,127.445
"BEX5",57.89,173.85,60.39,100.83,594.425,63,260.38,202.66,50.63,143.01,780.44,480.175,131.52
"LRRC14",341.51,318.57,327.56,426.57,332.14,165.57,341.51,523.575,281.09,417.77,549.655,399.32,624.99
"PSG9",0,0,0,0,0.7,0,0,0,0.43,0,0,0,0
"KLF13",796.86,1417.35,995,1447.15,1171.77,444.72,2075.59,569.075,934.76,1503.435,1936.53,1139.15,1977.24
"CLDN19",2.07,78.89,0.57,0.96,718.08,1.14,0.71,3.305,2.18,2.215,0.2,0,3.015
"HIF1A",2119.22,947.83,1628.26,866.07,3018.375,480.04,1572.76,1183.45,1457.23,1199.98,1437.15,957.75,1870.53
"BIN3",629.35,567.1,718.08,595.34,483.38,356.05,571.05,557.37,567.1,516.355,728.11,688.78,607.87
"SYT9",8.19,17.13,8.92,3.56,75.395,66.65,2.41,35.63,1.33,4.115,30.34,14.835,3.84
"VASH2",31.67,57.08,47.17,12.55,10.03,6.01,27.64,37.855,12.18,21.085,12.98,36.145,39.785
"GPX4",7642.41,13033.07,10512.82,5183.54,10405.635,14163.58,9344.14,9311.86,6164.49,6792.79,8078.22,6404.115,6228.97
"WDR49",5.15,4.82,6.52,1.77,5.61,0,39.5,5.845,19.53,4.295,2.73,5.065,9.56
"CARS2",848.22,866.07,842.36,1059.11,884.305,890.44,1001.93,1107.975,830.75,860.08,893.54,1111.845,1096.525
"TRAPPC8",476.71,603.67,503.95,493.56,597.415,483.38,493.56,475.09,480.04,426.57,497,432.53,540.19
"MN1",75.11,60.39,71,57.08,20.445,6.26,50.98,48.025,76.17,68.07,27.94,48.06,337.985
"GPR171",23.93,31.22,100.83,34.75,12,14.03,124.37,20.485,29.7,48.02,24.46,11.955,27.44
"MBD1",836.53,813.63,785.88,902.89,669.94,454.09,775.05,845.29,830.75,854.13,1088.92,860.1,1216.75
"COL8A2",187.71,412,336.79,81.14,19.53,10.47,138.1,159.905,119.26,75.11,213.525,84.335,364.825
"KCTD17",660.68,180.02,432.53,543.96,163.295,76.71,353.59,332.27,146.03,244.595,237.86,647.07,509.23
"TTF1",255,348.71,353.59,242.88,198.47,103.69,260.38,324.16,232.94,157.68,387.02,364.845,287.01
"THBS1",2351.53,2758.13,1023,1733.13,2040.02,988.12,3794.3,878.51,1044.52,1388.46,354.84,2529.15,3018.375
"CTD-2616J11.4",1.35,0,0,1,1.06,0,4.78,0.595,1.38,0,0,0.535,1.2
