"Hugo_Symbol","bladder","breast","cervix","colon","kidney","liver","lung","prostate","salivary","stomach","thyroid","uterus","max_easophagus"
"RP11-1055B8.7",106.63,124.37,45.53,124.37,94.065,38.4,142.01,123.09,74.06,140.53,215.77,157.145,339.14
"GALR1",0,1.64,4.13,2.25,4.315,0,0,9.63,0.44,2.63,0.92,0,4.8
"TNNT2",299.25,29.7,23.76,13.12,455.89,7.75,212.78,37.85,77.25,15.165,8.03,18.64,185.11
"PAPPA",42.71,17.9,66.65,17.77,202.305,2.16,16.15,15.51,24.99,26.955,13.47,48.355,61.25
"MSI1",15.45,32.13,52.08,34.75,14.14,5.45,9.13,98.04,8.13,66.435,10.96,94.34,17.9
"SVEP1",236.21,884.29,271.48,186.4,180.17,64.8,514.56,26.285,84.04,96.685,141.525,250.615,425.09
"COCH",39.22,29.27,379.04,34.02,47.735,7.34,16.75,663.085,16.27,26.48,21.085,12.735,60.39
"USP34",1208.34,1457.23,1437.15,1015.93,887.365,579.04,988.12,1317.8,842.36,1119.56,1359.57,1583.71,1583.71
"PNRC2",1745.2,2451.44,1369.04,2090.03,2710.75,728.11,2047,1781.93,1208.34,1674.06,2739.08,2039.925,1656.745
"DYNC1I2",1870.53,1991,1923.14,1617,1929.835,540.19,1529.73,1482.725,1594.73,1838.385,1373.805,1963.62,1864.065
"ADAM10",902.89,866.07,514.56,583.07,1005.705,318.57,878.17,863.115,511,503.95,813.63,585.13,540.19
"SCARA3",607.87,759.08,825,361.04,312.605,59.13,387.02,881.23,607.87,272.425,1163.105,3049.875,1187.57
"ROPN1",0.69,214.27,0,5.36,0.725,0,0,0.505,6.01,0,0,0.79,0
"MRPS7",1427.22,1167.14,1250.98,1685.71,1929.835,1467.37,1388.16,1407.55,1685.71,1472.475,1340.84,1135.225,1651
"AQP12A",0,0,0,20.26,0,0,0,0,0,0,1.23,0,0
"KIF3A",91.41,139.07,74.58,61.25,145.525,20.71,111.21,113.96,70.51,69.03,115.16,106.645,130.6
"C1QTNF1",532.74,1073.91,679.29,532.74,385.525,909.17,633.73,899.805,283.05,452.735,1077.65,674.605,1572.76
"GOLGA7B",1.83,2.05,3.82,2.1,0.145,1.35,6.16,0.99,1.64,1.75,1.74,0.305,10.55
"MYL7",1.66,49.21,5.28,4.98,1.38,2.61,2.12,2.495,1.97,3.015,5.04,8.48,26.765
"NXNL2",7.34,32.13,232.94,3.96,66.015,1.55,7.51,25.17,1.97,3.875,10.63,232.27,19.39
"RHOJ",277.2,483.38,165.57,185.11,136.19,41.22,447.82,159.9,90.14,189.02,220.32,609.99,366.105
"MYB",16.15,363.56,54.72,125.24,1.1,2.23,54.72,51.715,37.59,40.355,6.11,18.77,91.41
"ZNF48",120.1,115.16,107.38,145.02,128.79,64.34,102.25,133.37,91.41,118.43,117.6,241.19,166.73
"BLOC1S6",547.75,733.19,884.29,454.09,495.52,305.55,540.19,753.83,397.93,395.18,775.05,631.54,497
"PSMC3IP",102.25,108.9,154.42,111.21,85.225,22.59,111.21,145.525,90.77,91.41,120.1,199.86,161.02
"TRIM32",189.02,249.73,232.94,153.34,161.02,55.49,154.42,176.3,159.9,131.055,149.12,300.29,177.53
"GSDMA",18.7,8.38,2.53,5.96,3.965,1.64,8.71,1.2,38.4,8.19,2.66,3.675,29.91
"CLCA1",0.32,0.17,0.47,1819.35,0,0,0.12,0.17,0.17,15.39,0.08,0.435,0.62
"EFTUD2",1167.14,1259.69,896.64,1073.91,947.915,660.68,1135.2,902.89,1331.57,805.205,915.51,974.5,1143.1
"ACTR3",3168.41,2209.26,1950,3018.3,2555.64,902.89,2835.7,2039.925,3794.3,2537.92,1617,1857.6,4095
"ITPR3",166.73,262.2,237.86,591.22,278.375,16.51,836.53,273.38,384.34,585.1,995,141.04,579.04
"TSSK3",16.75,40.93,30.34,31,15.515,16.63,29.27,19.11,8.65,24.99,52.08,47.855,69.275
"RP11-944C7.1",0,0,0,0,0,6.52,0,0,0,0,0,0,0
"DNHD1",64.8,97.36,81.71,105.15,37.995,67.12,105.15,62.34,34.75,80.01,124.805,101.895,275.28
"CDHR2",0.47,1.51,1.57,159.9,126.12,825,2.07,0.79,1.85,129.24,0.92,1.72,4.46
"OR4F21",0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF2",1159.07,1295.13,1175.27,909.17,1977.285,1605.83,1242.34,1092.71,417.77,925.09,3190.46,475.09,703.28
"ZBTB11",153.34,217.27,157.68,137.14,136.265,88.26,175.07,163.85,156.59,156.59,171.45,169.675,215.77
"ALPK1",181.28,309.83,169.07,178.77,142.065,85.82,264.03,151.22,163.28,157.135,208.38,145.525,230.52
"ZNF646",116.78,164.42,139.07,139.07,130.145,40.36,149.12,141.515,125.24,170.25,155.5,159.345,154.96
"TUBB1",1.89,3.72,1.13,2.2,3.04,2.97,31.22,0.89,1.22,2.495,3.645,1.6,2.68
"KAT2B",314.17,309.83,299.25,303.44,356.065,371.22,371.22,337.965,466.88,444.73,377.725,218.03,511
"KLF3",1001.93,624.99,738.29,909.17,488.445,514.56,616.37,669.92,941.27,934.76,573.04,591.22,1259.69
"MEF2BNB",417.77,412,432.53,521.76,725.595,384.34,669.92,605.77,483.38,483.38,713.11,435.55,498.73
"NQO2",896.64,1143.1,1081.39,555.41,2352.435,2701.35,825,984.705,1127.35,825,767.025,810.815,893.54
"PRKD2",733.19,764.36,1044.52,785.88,618.55,412,934.76,893.54,860.08,881.23,947.83,974.5,1051.79
"PLXNA1",201.25,361.04,226.54,164.42,146.04,33.54,429.54,192.34,320.8,185.11,185.11,232.965,388.37
"SUV39H1",93.35,126.12,102.25,108.9,83.455,108.14,98.04,104.42,118.43,111.6,87.34,114.775,126.12
"ENTPD1",629.35,368.65,397.93,323.03,224.19,68.07,525.39,282.085,173.85,282.085,240.355,640.675,527.225
"SLC25A21-AS1",39.79,82.29,102.25,41.52,68.13,15.56,58.3,107.76,26.47,50.805,124.805,118.845,92.375
"RASSF4",293.07,486.75,603.67,651.58,1119.99,559.28,713.11,334.49,264.03,380.36,2654.945,197.09,830.765
"SMIM13",105.89,112.77,90.14,91.41,90.48,128.79,110.43,98.04,118.43,93.355,68.55,124.37,118.845
"CTD-2260A17.2",19.25,27.44,23.25,19.53,35.885,13.83,17.64,32.475,20.41,30.67,31.56,22.59,30.78
"POP5",743.43,961.07,961.07,947.83,1151.085,961.07,909.17,1195.835,738.29,730.65,1417.35,954.45,813.63
"SLC35G5",2.12,0.97,3.03,2.23,1.155,0.85,2.27,2.605,0.57,2.73,2.14,1.52,3.84
"NDUFA4L2",420.68,397.93,226.54,170.25,274.605,110.43,915.51,183.865,934.76,491.85,620.67,305.58,4543.8
"C10orf76",412,371.22,444.72,450.94,343.925,255,423.61,428.055,420.68,372.515,358.54,341.515,460.44
"FAM49B",813.63,902.89,447.82,665.29,769.76,332.14,1250.98,463.65,928.3,651.59,785.88,410.59,872.1
"WDR52",105.15,182.55,108.14,124.37,55.505,40.93,131.51,117.605,43.63,94.01,191.675,169.66,221.86
"BAG6",3742.05,3491.39,4671.57,4298.64,3614.9,4010.71,4152.18,4038.61,4419.52,4123.49,4373.82,4419.625,4328.55
"YWHAB",4388.98,3820.7,3325.99,3665.02,4224.8,1359.57,3847.29,3124.78,3716.2,3419.52,3071.1,3060.45,3928.15
"BRMS1L",178.77,175.07,177.53,109.66,169.135,80.01,146.03,164.425,146.03,111.21,185.11,177.53,179.395
"C9orf139",1,1.14,1.36,2.12,0.785,0.79,4.1,0.655,0.83,1.57,7.17,1.02,4.88
"C3orf52",248,70.51,14.56,85.82,149.755,6.57,199.85,78.08,85.22,199.16,353.595,21.945,127
"TCL1A",0,0,0,9.06,3.2,9.41,17.64,3.79,4.74,0,5.75,0,2.25
"EFNA4",152.28,316.37,387.02,236.21,156.62,113.56,140.04,357.295,368.65,211.31,218.79,247.14,376.41
"RP11-618P17.4",8.06,0,2.94,2.76,0,0,0,0,0,0,0,4.26,4.82
"PGM5",5791.62,426.57,395.18,2351.53,549.735,74.06,414.87,3384.325,76.17,547.76,255,4241.075,5555.65
"FGF21",0,0,0,0,0,723.08,0,0,0,0,0,0,0
"PTGER1",7.46,1.27,11.04,8,244.67,5.92,21.63,4.26,2.07,58.095,2.27,5.34,34.755
"CLDN23",136.19,40.07,162.14,218.79,106.645,116.78,143.01,30.455,98.04,396.555,134.3,23,111.99
"MTMR14",532.74,633.73,575.03,612.11,802.41,529.06,878.17,523.575,579.04,551.56,662.985,616.39,540.19
"GPR125",189.02,543.96,748.61,612.11,299.31,947.83,171.45,363.56,175.07,229.725,785.88,536.45,369.935
"KLK3",1.55,16.88,18.56,25.35,4.545,1.48,0.96,187954.9,7.51,2.68,25.91,7.4,3.26
"AC018867.2",0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM126B",902.89,1030.12,1023,1059.11,1299.705,703.28,1143.1,918.695,612.11,810.815,1044.52,1167.14,1019.465
"HNRNPUL2-BSCL2",579.04,698.41,616.37,599.49,618.61,226.54,466.88,507.46,559.28,525.39,547.75,601.58,688.78
"ODF1",0.57,0,0,0,0,0,0,0.06,0,0,0,0,0
"CAMKK1",176.29,119.26,178.77,124.37,56.605,12.55,128.79,131.975,117.6,66.65,181.915,241.215,136.19
"C21orf128",0,0.52,3.03,0.53,0,0.24,12.27,0.19,1.1,0,0.255,0,0
"KAT6B",237.86,309.83,265.87,183.82,182.55,63.45,208.38,216.52,139.07,246.28,244.57,306.62,347.5
"HDAC6",733.19,1233.75,909.17,1259.69,1771.105,2537.92,1104.13,977.895,785.88,860.08,1540.37,1290.655,1883.54
"VWCE",26.47,34.26,136.19,12.83,16.33,221.86,12.55,30.45,18.7,13.52,34.14,64.47,31.905
"GH2",0,0,0,0,0,0,0,0,0,0,0,0,0
"DNAJC17",470.14,507.46,738.29,423.61,380.36,529.06,470.14,536.45,563.18,387.02,500.46,686.4,543.96
"CCNL1",1896.65,1896.65,1119.56,1331.57,746.02,1208.34,1721.16,995.025,954.43,1378.57,2178.83,1304.18,2271.4
"ZNF672",447.82,332.14,483.38,470.14,482.195,348.71,551.56,530.9,457.25,455.67,591.22,366.13,493.56
"CSMD1",3.56,10.63,7.94,1.5,13.875,0,5.5,3.03,2.71,1.11,2.915,3.215,2.84
"CMC1",638.15,647.07,775.05,1066.48,1048.155,1088.92,813.63,796.86,656.11,788.615,703.28,713.11,733.19
"MAGEA4",0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-234B24.6",0,0,1.04,13.72,2.36,0,1.48,1.135,2.12,7.235,1.58,0,2.655
"CALCA",2.27,0.53,0,4.28,216.53,11.47,10.79,40.215,1.51,3.41,22.44,0.31,1.83
"ULBP3",21.16,31,11.64,8.45,48.375,5.92,32.82,13.22,39.79,25.35,73.54,13.175,46.18
"CXCR1",6.06,5.87,4.17,4.31,5.775,14.45,95.34,6.36,6.57,10.96,3.69,4.03,8.45
"YY1AP1",1369.04,1407.55,1407.55,1304.15,906.16,713.11,1175.27,1331.57,1225.22,1225.22,1272.875,1251.015,1674.06
"VASP",2682.69,1250.98,1397.83,3515.68,1085.205,708.18,2485.67,1662.49,1066.48,2645.74,842.36,1806.78,2976.74
"DCP1A",267.73,332.14,218.79,198.47,188.365,86.43,237.86,208.38,170.25,279.14,225.755,234.57,281.09
"TMEM220",175.07,307.69,256.78,336.79,305.74,1709.26,237.86,638.15,147.06,302.385,393.81,237.035,319.685
"RP11-770J1.5",299.25,244.57,426.57,277.2,209.885,373.81,242.88,312,193.01,184.475,275.28,314.185,295.11
"VPS28",4575.41,3467.27,6164.49,5219.6,4528.1,3639.7,4512.4,5613.76,4239.45,4210.15,5831.91,5555.65,4109.245
"ZHX1-C8ORF76",38.12,35,33.54,27.84,21.32,26.1,31.67,29.805,30.34,18.225,30.78,24.725,43.02
"C2orf69",180.02,201.25,132.44,148.09,175.765,103.69,151.22,136.19,166.73,141.02,125.24,128.34,140.04
"MED26",143.01,133.36,161.02,126.12,88.885,81.71,170.25,149.645,134.3,141.02,136.19,153.34,157.68
"RMI2",170.25,69.03,138.1,159.9,139.555,28.86,74.58,95.03,147.06,102.97,56.285,89.51,253.23
"CTNND2",7.06,49.21,37.59,20.86,6.84,23.08,32.59,43.475,5.92,23.505,7.57,5.985,33.54
"TARS",1208.34,1397.83,981.29,1639.59,1187.625,1651,1044.52,1277.29,2061.24,1378.57,1066.48,1119.56,1709.26
"PRKCA",241.19,94.01,194.36,295.11,314.2,94.67,143.01,248.94,57.49,189.02,82.29,262.2,286.02
"PCDHB5",77.79,71,127.89,21.94,165.83,18.43,54.33,105.89,22.59,21.165,84.63,162.16,60.185
"PPRC1",603.67,460.44,500.46,379.04,261.3,255,591.22,357.295,591.22,379.04,425.09,545.855,718.08
"PPAPDC3",112.77,87.03,181.28,104.42,87.7,4.54,37.05,78.065,34.02,39.79,22.59,175.69,161.02
"PCTP",341.51,460.44,429.54,616.37,485.09,1781.89,603.67,414.87,264.03,366.09,253.23,271.48,321.915
"LRP3",718.08,713.11,1340.84,476.71,319.73,878.17,358.54,934.76,264.03,441.64,665.29,881.355,1015.93
"NR1D1",366.09,514.56,1015.93,285.03,227.335,490.14,215.77,303.44,444.72,363.56,248,669.92,725.595
"FOXI1",1.55,226.54,0,0,810.93,0,0.46,44.68,11.91,0.93,0,0,0
"TMEM192",228.13,490.14,221.86,226.54,794.34,486.75,301.33,534.595,209.84,228.13,392.44,241.215,204.07
"PLA2G5",171.45,72.52,13.12,185.11,2.96,107.38,159.9,341.51,11.04,41.225,33.42,32.495,450.94
"HIST1H4D",0,0,0,0,0,0,3.23,7.055,0,0,7.63,0,9.06
"CAMSAP3",99.43,155.5,26.86,92.7,231.255,454.09,242.88,444.72,435.55,624.99,318.57,22.925,1015.93
"GLIPR1L2",28.04,55.49,73.03,12.64,41.98,13.22,29.27,36.4,19.53,17.965,57.69,43.94,26.67
"FBXW10",1.06,1.68,1.5,0.75,1.66,1.83,2.29,1.455,2.66,2.695,16.39,1.32,7.06
"APOC4-APOC2",0,0.39,7.11,0.11,0,65082.31,3.2,2.385,0,0,0.735,0,0
"DCP1B",316.37,334.46,312,384.34,248.94,159.9,244.57,359.79,186.4,328.7,312,665.3,473.41
"DNAJC28",19.68,45.21,23.25,30.56,84.63,40.93,28.65,32.82,33.54,39.5,97.36,22.51,34.26
"ZNF763",74.06,132.44,48.87,70.51,103.33,24.99,92.05,78.34,31.9,70.755,128.79,96.355,107.38
"TTC39C",336.79,525.39,497,167.9,92.05,2018.8,269.6,283.05,441.64,233.755,122.215,366.105,353.59
"CHD5",5.96,1.53,3.17,9.63,9.345,0.43,2.71,15,1.08,10.63,2.46,3.79,111.99
"FAM118B",249.73,281.09,255,486.75,291.06,120.1,503.95,232.94,256.78,317.47,253.23,283.05,305.55
"GGTLC2",0,0,0,0,14.835,0,42.11,0,0,0,29.49,0,0
"KRTAP1-3",0,0,0,0,0,0,0,0,0,0,0,0,0
"C3orf83",33.06,28.65,8,47.17,19.39,3.79,15.22,50.625,120.1,114.76,13.52,13.575,133.36
"GSKIP",435.55,348.71,269.6,813.63,414.915,264.03,329.84,443.18,638.15,593.28,236.21,235.42,848.22
